"DateTime","Year","Day","Hour","NEE","LE","ET","H","Rg","Tair","Tsoil","rH","VPD","Ustar","Ustar_Thres_NEE_Thres","Ustar_Thres_NEE_fqc","NEE_Thres_NEE_orig","NEE_Thres_NEE_f","NEE_Thres_NEE_fqc","NEE_Thres_NEE_fall","NEE_Thres_NEE_fall_qc","NEE_Thres_NEE_fnum","NEE_Thres_NEE_fsd","NEE_Thres_NEE_fmeth","NEE_Thres_NEE_fwin","Ustar_Thres_LE_Thres","Ustar_Thres_LE_fqc","LE_Thres_LE_orig","LE_Thres_LE_f","LE_Thres_LE_fqc","LE_Thres_LE_fall","LE_Thres_LE_fall_qc","LE_Thres_LE_fnum","LE_Thres_LE_fsd","LE_Thres_LE_fmeth","LE_Thres_LE_fwin","Ustar_Thres_ET_Thres","Ustar_Thres_ET_fqc","ET_Thres_ET_orig","ET_Thres_ET_f","ET_Thres_ET_fqc","ET_Thres_ET_fall","ET_Thres_ET_fall_qc","ET_Thres_ET_fnum","ET_Thres_ET_fsd","ET_Thres_ET_fmeth","ET_Thres_ET_fwin","Tair_orig","Tair_f","Tair_fqc","Tair_fall","Tair_fall_qc","Tair_fnum","Tair_fsd","Tair_fmeth","Tair_fwin","PotRad_Thres_NEE","FP_NEEnight_Thres_NEE","FP_Temp_Thres_NEE","E_0_Thres_NEE","R_ref_Thres_NEE","Reco_Thres_NEE","GPP_Thres_NEE_f","GPP_Thres_NEE_fqc","hr.24","datetime","filename","DOY","daytime","file_records","used_records","Tau","qc_Tau","rand_err_Tau","qc_H","rand_err_H","qc_LE","rand_err_LE","co2_flux","qc_co2_flux","rand_err_co2_flux","h2o_flux","qc_h2o_flux","rand_err_h2o_flux","H_strg","LE_strg","co2_strg","h2o_strg","co2_v.adv","h2o_v.adv","co2_molar_density","co2_mole_fraction","co2_mixing_ratio","co2_time_lag","co2_def_timelag","h2o_molar_density","h2o_mole_fraction","h2o_mixing_ratio","h2o_time_lag","h2o_def_timelag","sonic_temperature","air_temperature","air_pressure","air_density","air_heat_capacity","air_molar_volume","water_vapor_density","e","es","specific_humidity","RH","Tdew","u_unrot","v_unrot","w_unrot","u_rot","v_rot","w_rot","wind_speed","max_speed","wind_dir","yaw","pitch","roll","u.","TKE","L","X.z.d..L","bowen_ratio","T.","model","x_peak","x_offset","x_10.","x_30.","x_50.","x_70.","x_90.","un_Tau","Tau_scf","un_H","H_scf","un_LE","LE_scf","un_co2_flux","co2_scf","un_h2o_flux","h2o_scf","spikes_hf","amplitude_resolution_hf","drop_out_hf","absolute_limits_hf","skewness_kurtosis_hf","skewness_kurtosis_sf","discontinuities_hf","discontinuities_sf","timelag_hf","timelag_sf","attack_angle_hf","non_steady_wind_hf","u_spikes","v_spikes","w_spikes","ts_spikes","co2_spikes","h2o_spikes","u_var","v_var","w_var","ts_var","co2_var","h2o_var","w.ts_cov","w.co2_cov","w.h2o_cov","LWin_1_1_1","LWout_1_1_1","MWS_1_1_1","PPFD_1_1_1","P_1_1_1","Pa_1_1_1","RH_1_1_1","Rg_1_1_1","SHF_1_1_1","SHF_2_1_1","SHF_3_1_1","SHF_4_1_1","SHF_5_1_1","SWC_1_1_1","SWC_2_1_1","SWC_3_1_1","SWC_4_1_1","SWC_5_1_1","SWin_1_1_1","SWout_1_1_1","Ta_1_1_1","Ts_1_1_1","Ts_2_1_1","Ts_3_1_1","Ts_4_1_1","Ts_5_1_1","WD_1_1_1","Datetime","Y_50","X_50","Y_90","X_90","d","m","y","tower","date","minut","qcNEE","qcLE","qcH"
2015-01-01 00:00:00,2015,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0,NA,10.46593,1,10.46593,1,2,0.02983371,3,1,0.18,0,NA,-2.743972,2,-2.743972,2,4,5.435443,3,3,0.18,0,NA,-0.01859408,1,-0.01859408,1,2,0.003762624,3,1,NA,25.05833,1,25.05833,1,4,0.6124904,3,1,384.8537,NA,NA,231.95,4.739129,8.115412,-2.350516,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
2015-01-01 00:30:00,2015,1,0.5,8.003534,NA,0.01420241,NA,0,25.79667,25.04,86.40333,0.4502643,0.1492782,0.18,1,NA,6.811392,1,6.811392,1,33,3.235852,1,14,0.18,1,NA,5.709276,1,5.709276,1,30,12.22717,1,14,0.18,1,NA,0.006315484,1,0.006315484,1,53,0.03447042,1,14,25.79667,25.79667,0,25.79667,NA,NA,NA,NA,NA,223.8541,NA,25.79667,231.95,4.743412,8.399882,1.58849,1,0.5,"2015-01-01 00:30:00","C20150010030_all.csv",1.02,0,36000,36000,0.02498657,5,0.003882172,1,1.35713,4,1.781941,8.003534,1,0.9732634,0.2191731,4,0.04054408,NA,NA,NA,NA,-2.734234e-11,-1.967163e-12,15.99708,413.2494,420.9758,0.55,0,1150.92,29.7315,30.64255,2.3,0,298.0661,298.9467,96212.67,1.108628,1022.277,0.0258328,0.02073959,2861.314,3311.578,0.01870743,86.40333,296.4738,-0.1619525,2.699725,-0.01071014,2.7046,-3.733141e-14,-1.709209e-15,2.7046,4.59196,86.56703,93.43297,-0.2268903,NA,0.1492782,0.2702733,21.5411,0.9869505,-1.365399,-0.07774305,1,478.5398,210,467,1022,2053,4923,NA,0.02470467,1.011411,-12.52632,1.020441,7.570436,1.272425,7.389606,1.08308,0.1722483,1.272425,800000099,800000199,800000099,800000099,800000099,800100099,800000000,800000000,81100,81100,80,80,55,14,8,31,6,0,0.4259599,0.09462022,0.01996657,0.08675356,35.84218,0.0287837,-0.01105272,0.1967453,0.004586042,391.0267,432.5133,1.98,0,0,96212.67,86.40333,NA,10.45,19.56,10.97667,5.143333,4.24,18.72667,18.77667,25.63333,27.15333,23.57,0,0,298.9467,297.73,298.1367,298.1667,297.99,298.9267,19.60333,"2015-01-01 00:30:00",8551369,351061.1,8563240,348983.7,1,1,2015,"Control",2015-01-01 00:30:00,0.5,0,0,0
2015-01-01 01:00:00,2015,1,1,7.924448,-4.71738,NA,NA,0,25.23667,25.01533,88.03667,0.3832236,0.1163281,0.18,1,NA,7.0333,1,7.0333,1,41,3.640224,1,14,0.18,1,NA,4.222077,1,4.222077,1,36,10.6633,1,14,0.18,1,NA,0.005772658,1,0.005772658,1,58,0.03375472,1,14,25.23667,25.23667,0,25.23667,NA,NA,NA,NA,NA,58.34869,NA,25.23667,231.95,4.747694,8.196751,1.163451,1,1,"2015-01-01 01:00:00","C20150010100_all.csv",1.041,0,36000,36000,0.01524268,5,0.001369265,1,1.32455,6,1.344406,7.924448,1,1.379133,-0.107275,6,0.0305723,-12.71265,-14.34573,5.274297,-0.3262273,1.697999e-11,1.18485e-12,16.28665,420.0508,427.9813,0.55,0,1136.469,29.31081,30.19587,0.35,1,297.5537,298.3867,96187.67,1.110599,1022.023,0.02579111,0.02047918,2820.095,3203.318,0.01843976,88.03667,296.2337,-0.2771253,2.567672,-0.02404556,2.582696,9.354348e-14,1.042571e-15,2.582696,4.208479,83.83999,96.16001,-0.533446,NA,0.1163281,0.2121018,14.23299,1.493713,1.996317,-0.07132268,1,730.9873,321,712,1557,3122,7469,NA,0.01502888,1.014226,-9.488626,1.026997,-3.612106,1.305992,7.441889,1.064844,-0.08214067,1.305992,800000099,800010199,800000099,800000099,800000099,800000199,800000000,800000000,81000,81000,80,81,43,28,4,0,1,0,0.1719154,0.23046,0.0218281,0.08921636,67.07874,0.01346402,-0.008359597,0.1977318,-0.002182487,387.4333,431.8333,2.246667,0,0,96187.67,88.03667,NA,11.02,19.84333,11.31,5.16,4.23,18.71333,18.76333,25.62,27.13333,23.56333,0,0,298.3867,297.6567,298.0967,298.16,297.99,298.9233,242.94,"2015-01-01 01:00:00",8555989,348976,8545070,356251.8,1,1,2015,"Control",2015-01-01 01:00:00,0,0,0,0
2015-01-01 01:30:00,2015,1,1.5,10.07308,-4.25138,NA,NA,0,24.79333,24.99067,90.47,0.2973183,0.2311226,0.18,0,10.07308,10.07308,0,10.07308,NA,NA,NA,NA,NA,0.18,0,-4.25138,-4.25138,0,-4.25138,NA,NA,NA,NA,NA,0.18,0,NA,0.005717848,1,0.005717848,1,58,0.03308791,1,14,24.79333,24.79333,0,24.79333,NA,NA,NA,NA,NA,0,10.07308,24.79333,231.95,4.751977,8.038644,-2.034433,0,1.5,"2015-01-01 01:30:00","C20150010130_all.csv",1.062,0,36000,36000,0.0599345,1,0.005791404,1,2.642516,1,1.38821,10.07308,1,1.26662,-0.09663639,1,0.03155484,-10.07416,1.349009,-7.994032,0.03066377,3.749152e-11,2.685495e-12,15.9031,409.7523,417.5129,0.65,0,1139.13,29.35031,30.2378,3.75,0,297.5247,297.9433,96140,1.111684,1022.039,0.02576556,0.02052712,2822.496,3119.814,0.01846489,90.47,296.2478,-1.311904,2.552815,-0.03586389,2.870408,1.079965e-13,2.357498e-15,2.870408,5.016224,62.80115,117.1989,-0.7158923,NA,0.2311226,0.5010852,44.69829,0.4756334,5.530002,-0.08952911,0,117.2043,-17.78621,40.23246,100.1845,152.7877,214.2869,321.0408,0.05938354,1.009278,-23.59417,1.014552,-3.133803,1.35662,9.361173,1.076049,-0.0712332,1.35662,800000099,800000199,800000099,800000099,800000099,800000099,800000000,800000000,81000,81000,80,81,2,4,0,6,1,0,0.2852423,0.6571975,0.0597305,0.08623361,18.66208,0.006262751,-0.02076616,0.2484911,-0.001890876,386.11,429.8267,2.163333,0,0,96140,90.47,NA,11.58667,20,11.40333,5.513333,4.503333,18.70333,18.75667,25.61,27.12333,23.54333,0,0,297.9433,297.5833,298.0367,298.16,297.99,298.9333,126.5867,"2015-01-01 01:30:00",8553386,350859.9,8553381,351028.1,1,1,2015,"Control",2015-01-01 01:30:00,0.5,0,0,0
2015-01-01 02:00:00,2015,1,2,NA,-1.25684,-0.001851085,-10.75986,0,24.7,24.97267,91.33667,0.2687781,0.2769354,0.18,0,NA,6.888676,1,6.888676,1,40,3.644191,1,14,0.18,0,-1.25684,-1.25684,0,-1.25684,NA,NA,NA,NA,NA,0.18,0,-0.001851085,-0.001851085,0,-0.001851085,NA,NA,NA,NA,NA,24.7,24.7,0,24.7,NA,NA,NA,NA,NA,0,NA,24.7,231.95,4.75626,8.011183,1.122507,1,2,"2015-01-01 02:00:00","C20150010200_all.csv",1.083,0,36000,36000,0.08600562,1,0.009459776,4,1.955195,4,1.309176,NA,7,4.097523,-0.02856613,4,0.02975567,-2.121144,4.188981,9.386623,0.09520942,-3.231635e-11,-2.257847e-12,16.37411,421.8436,429.9635,0.35,1,1144.01,29.47296,30.36799,0.35,1,297.05,297.85,96120,1.111748,1022.108,0.02576285,0.02061506,2833.7,3102.479,0.01854292,91.33667,296.3133,-0.02645625,3.333424,-0.02393792,3.333615,-7.853606e-14,-1.973625e-15,3.333615,5.748574,89.54527,90.45473,-0.4114312,NA,0.2769354,0.5429002,167.9934,0.1265526,8.561047,-0.03419203,0,103.9643,-15.77698,35.68757,88.8671,135.5279,190.0798,284.7742,0.08526358,1.008703,-10.81053,1.010093,-0.8820916,1.42484,-3.962676,1.118547,-0.02004865,1.42484,800000099,800010199,800000099,800000099,800000099,800001099,800000000,800000000,80000,80000,80,80,31,5,1,11,4,18,0.5685845,0.4014935,0.1157223,0.05556501,64.9106,0.00376831,-0.009513569,-0.1051909,-0.0005322001,385.86,429.2567,2.206667,0,0,96120,91.33667,NA,11.57,20.06667,11.42,5.51,4.593333,18.69333,18.74667,25.59667,27.11667,23.53,0,0,297.85,297.5333,298,298.1567,297.99,298.9333,21.15667,"2015-01-01 02:00:00",8553527,350705.9,8553676,350704.4,1,1,2015,"Control",2015-01-01 02:00:00,0,0,0,0
2015-01-01 02:30:00,2015,1,2.5,NA,0.906368,0.001334126,NA,0,24.09667,24.93467,94.10333,0.1764536,0.1946194,0.18,0,NA,7.034395,1,7.034395,1,43,3.575062,1,14,0.18,0,0.906368,0.906368,0,0.906368,NA,NA,NA,NA,NA,0.18,0,0.001334126,0.001334126,0,0.001334126,NA,NA,NA,NA,NA,24.09667,24.09667,0,24.09667,NA,NA,NA,NA,NA,0,NA,24.09667,231.95,4.760543,7.795264,0.7608697,1,2.5,"2015-01-01 02:30:00","C20150010230_all.csv",1.104,0,36000,36000,0.04257162,1,0.00343645,2,0.6998935,6,0.5740501,NA,7,1.338907,0.02058836,6,0.01303968,-13.73697,-6.16981,18.83397,-0.1401487,6.077358e-11,3.991013e-12,17.34671,446.0588,454.618,0.65,0,1139.162,29.29276,30.17672,0.35,1,296.5603,297.2467,96106.33,1.113923,1021.994,0.02571432,0.02052769,2815.975,2992.429,0.01842828,94.10333,296.2095,0.6442506,2.714686,-0.1442147,2.79381,-8.894182e-14,3.503465e-15,2.79381,4.970455,103.3505,76.64952,-2.958887,NA,0.1946194,0.2333832,124.1081,0.1713023,-5.576408,-0.02281231,1,251.5261,110,239,507,983,2242,NA,0.04219175,1.009004,-5.010991,1.010117,0.6283917,1.442361,1.792257,1.030377,0.01427406,1.442361,800000099,800010199,800000099,800000099,800000099,800100099,800000000,800000000,80100,80100,80,80,40,30,2,7,1,7,0.1937949,0.2228427,0.05012874,0.01853221,77.7292,0.001333632,-0.004401695,0.0474778,0.0003781272,383.8,429.45,2.823333,0,0,96106.33,94.10333,NA,11.49667,20.10333,11.08333,5.543333,4.846667,18.67333,18.73333,25.58333,27.10333,23.51667,0,0,297.2467,297.4233,297.94,298.1333,297.99,298.9367,117.6633,"2015-01-01 02:30:00",8553702,349774.7,8550226,360192.1,1,1,2015,"Control",2015-01-01 02:30:00,0.5,0,0,0
2015-01-01 03:00:00,2015,1,3,NA,NA,-0.01058862,-8.879996,0,23.56667,24.92133,96.73667,0.0945904,0.2114882,0.18,0,NA,6.872553,1,6.872553,1,41,3.55943,1,14,0.18,0,NA,1.099698,1,1.099698,1,40,5.132448,1,14,0.18,0,-0.01058862,-0.01058862,0,-0.01058862,NA,NA,NA,NA,NA,23.56667,23.56667,0,23.56667,NA,NA,NA,NA,NA,0,NA,23.56667,231.95,4.764826,7.608151,0.7355981,1,3,"2015-01-01 03:00:00","C20150010300_all.csv",1.124,0,36000,36000,0.05035037,1,0.003626932,1,0.9392228,6,0.9734486,NA,2,0.9368874,-0.1634047,6,0.02210075,-12.08796,-4.236285,-10.93361,-0.09617875,1.112359e-10,7.510374e-12,16.83029,432.0257,440.2474,0.75,0,1136.34,29.16932,30.04574,0.35,1,296.6799,296.7167,96102.33,1.115919,1021.914,0.02566954,0.02047685,2803.992,2898.582,0.01834976,96.73667,296.1391,0.4987065,2.755674,-0.119709,2.802995,-9.559737e-14,6.609266e-15,2.802995,4.595541,100.258,79.74196,-2.447707,NA,0.2114882,0.2371174,90.64004,0.2345542,1.233793,-0.03681963,0,117.8836,-17.88929,40.46562,100.7651,153.6732,215.5288,322.9014,0.04991201,1.008783,-9.163476,1.011059,-4.661067,1.544134,7.618622,1.033151,-0.1058228,1.544134,800000099,800010199,800000099,800000099,800000099,800000099,800000000,800000000,81000,81000,80,80,52,14,4,18,1,0,0.2122421,0.2126971,0.04929573,0.02262464,16.96248,0.002234162,-0.008035502,0.2014441,-0.002798062,381.5733,427.4433,2.36,0,0,96102.33,96.73667,NA,10.74667,19.88333,10.52333,5.516667,4.626667,18.65,18.72333,25.56333,27.08333,23.50333,0,0,296.7167,297.36,297.9,298.13,298.0067,298.96,345.7333,"2015-01-01 03:00:00",8553350,350855.2,8553304,351018.1,1,1,2015,"Control",2015-01-01 03:00:00,0,0,0,0
2015-01-01 03:30:00,2015,1,3.5,NA,-0.3940569,-0.0005798979,NA,0,23.86,24.89733,95.87,0.1218433,0.1646726,0.18,1,NA,6.872553,1,6.872553,1,41,3.55943,1,14,0.18,1,NA,1.099698,1,1.099698,1,40,5.132448,1,14,0.18,1,NA,0.006389799,1,0.006389799,1,58,0.02713902,1,14,23.86,23.86,0,23.86,NA,NA,NA,NA,NA,0,NA,23.86,231.95,4.769108,7.722286,0.8497337,1,3.5,"2015-01-01 03:30:00","C20150010330_all.csv",1.145,0,36000,36000,0.03054747,1,0.003274861,1,1.233362,7,1.163618,NA,1,1.231376,-0.008949041,7,0.02642579,6.6843,8.631676,-1.582575,0.1960255,-9.848308e-12,-6.738454e-13,16.73547,429.9926,438.0982,0.65,0,1145.082,29.42115,30.31299,4,0,296.7087,297.01,96107.67,1.114772,1022.065,0.02569349,0.02063438,2828.357,2950.2,0.01850996,95.87,296.2821,-0.08232028,2.92547,-0.03688111,2.92686,-1.580235e-14,-5.884691e-16,2.92686,4.190716,88.38817,91.61183,-0.7219983,NA,0.1646726,0.1563255,29.29004,0.7258439,32.92293,-0.06914675,1,434.9669,191,426,937,1893,4574,NA,0.03022932,1.010524,-12.87775,1.018318,-0.2534599,1.554711,10.09934,1.105829,-0.005756079,1.554711,800000099,800010199,800000099,800000099,800000099,800000099,800000000,800000000,81000,81000,80,80,39,26,0,2,0,1,0.1687101,0.098719,0.04522202,0.02995676,22.11213,0.005312003,-0.01130252,0.2673552,-0.0001523781,382.26,427.3,2.406667,0,0,96107.67,95.87,NA,10.58667,19.69333,10.63,5.51,4.54,18.64,18.71,25.55,27.07,23.48333,0,0,297.01,297.2967,297.86,298.11,298.0033,298.9667,349.3667,"2015-01-01 03:30:00",8554169,352432.9,8549281,341591.9,1,1,2015,"Control",2015-01-01 03:30:00,0.5,0,0,0
2015-01-01 04:00:00,2015,1,4,3.837369,-2.886385,-0.00424737,-9.58663,0,23.79667,24.87467,94.93667,0.1488107,0.1420916,0.18,1,NA,6.872553,1,6.872553,1,41,3.55943,1,14,0.18,1,NA,1.099698,1,1.099698,1,40,5.132448,1,14,0.18,1,NA,0.006389799,1,0.006389799,1,58,0.02713902,1,14,23.79667,23.79667,0,23.79667,NA,NA,NA,NA,NA,0,NA,23.79667,231.95,4.773391,7.705983,0.8334306,1,4,"2015-01-01 04:00:00","C20150010400_all.csv",1.166,0,36000,36000,0.02276674,1,0.002378052,2,1.019967,6,1.645055,3.837369,2,0.5680639,-0.06554583,6,0.03735693,-1.443635,-13.78094,-4.8899,-0.3129462,5.054981e-11,3.462056e-12,16.49727,423.7131,431.5809,0.65,0,1129.866,29.01927,29.88655,0.35,1,296.8383,296.9467,96123.33,1.115363,1021.831,0.02568382,0.02036018,2790.177,2938.988,0.01825431,94.93667,296.0575,-0.2070582,2.787932,-0.0599575,2.796253,6.215307e-15,3.064131e-15,2.796253,4.221718,85.75247,94.24753,-1.228635,NA,0.1420916,0.1932865,25.46657,0.8348201,3.321328,-0.05919741,1,527.4294,232,518,1144,2318,5633,NA,0.02251918,1.010993,-9.614963,1.019449,-1.922769,1.501161,3.649915,1.051359,-0.04366344,1.501161,800000099,800010199,800000099,800000099,800000099,810001099,800000000,800000000,81000,81000,80,80,64,63,2,12,2,15,0.1361733,0.2131928,0.03720683,0.03749646,9.204849,0.01298454,-0.008436312,0.09654621,-0.001154969,382.7867,427.1767,2.45,0,0,96123.33,94.93667,NA,10.96333,19.95667,10.37,5.51,4.54,18.62333,18.69667,25.54333,27.07,23.47333,0,0,296.9467,297.2367,297.8267,298.09,298,298.97,120.95,"2015-01-01 04:00:00",8551534,349320.4,8561403,356689.2,1,1,2015,"Control",2015-01-01 04:00:00,0,0,0,0
2015-01-01 04:30:00,2015,1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0,NA,7.459791,3,7.459791,3,9,3.922499,3,15,0.18,0,NA,1.243817,3,1.243817,3,7,2.893434,3,15,0.18,0,NA,0.01175549,2,0.01175549,2,2,0.0260725,3,5,NA,23.815,1,23.815,1,4,0.09860133,3,1,0,NA,NA,231.95,4.777674,7.719627,0.2598365,3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
